Index,Date,Month,Sales
1,1/1/2001,Jan,5082
2,2/1/2001,Feb,5216
3,3/1/2001,Mar,5893
4,4/1/2001,Apr,5894
5,5/1/2001,May,6799
6,6/1/2001,Jun,6667
7,7/1/2001,Jul,6374
8,8/1/2001,Aug,6840
9,9/1/2001,Sep,5575
10,10/1/2001,Oct,6545
11,11/1/2001,Nov,6789
12,12/1/2001,Dec,7180
13,1/1/2002,Jan,5117
14,2/1/2002,Feb,5442
15,3/1/2002,Mar,6337
16,4/1/2002,Apr,6525
17,5/1/2002,May,7216
18,6/1/2002,Jun,6761
19,7/1/2002,Jul,6958
20,8/1/2002,Aug,7070
21,9/1/2002,Sep,6148
22,10/1/2002,Oct,6924
23,11/1/2002,Nov,6716
24,12/1/2002,Dec,7975
25,1/1/2003,Jan,5326
26,2/1/2003,Feb,5609
27,3/1/2003,Mar,6414
28,4/1/2003,Apr,6741
29,5/1/2003,May,7144
30,6/1/2003,Jun,7133
31,7/1/2003,Jul,7568
32,8/1/2003,Aug,7266
33,9/1/2003,Sep,6634
34,10/1/2003,Oct,7626
35,11/1/2003,Nov,6843
36,12/1/2003,Dec,8540
37,1/1/2004,Jan,5629
38,2/1/2004,Feb,5898
39,3/1/2004,Mar,7045
40,4/1/2004,Apr,7094
41,5/1/2004,May,7333
42,6/1/2004,Jun,7918
43,7/1/2004,Jul,7289
44,8/1/2004,Aug,7396
45,9/1/2004,Sep,7259
46,10/1/2004,Oct,7268
47,11/1/2004,Nov,7731
48,12/1/2004,Dec,9058
49,1/1/2005,Jan,5557
50,2/1/2005,Feb,6237
51,3/1/2005,Mar,7723
52,4/1/2005,Apr,7262
53,5/1/2005,May,8241
54,6/1/2005,Jun,8757
55,7/1/2005,Jul,7352
56,8/1/2005,Aug,8496
57,9/1/2005,Sep,7741
58,10/1/2005,Oct,7710
59,11/1/2005,Nov,8247
60,12/1/2005,Dec,8902
61,1/1/2006,Jan,6066
62,2/1/2006,Feb,6590
63,3/1/2006,Mar,7923
64,4/1/2006,Apr,7335
65,5/1/2006,May,8843
66,6/1/2006,Jun,9327
67,7/1/2006,Jul,7792
68,8/1/2006,Aug,9156
69,9/1/2006,Sep,8037
70,10/1/2006,Oct,8640
71,11/1/2006,Nov,9128
72,12/1/2006,Dec,9545
73,1/1/2007,Jan,6627
74,2/1/2007,Feb,6743
75,3/1/2007,Mar,8195
76,4/1/2007,Apr,7828
77,5/1/2007,May,9570
78,6/1/2007,Jun,9484
79,7/1/2007,Jul,8608
80,8/1/2007,Aug,9543
81,9/1/2007,Sep,8123
82,10/1/2007,Oct,9649
83,11/1/2007,Nov,9390
84,12/1/2007,Dec,10065
85,1/1/2008,Jan,7088
86,2/1/2008,Feb,7476
87,3/1/2008,Mar,8355
88,4/1/2008,Apr,8882
89,5/1/2008,May,9778
90,6/1/2008,Jun,9956
91,7/1/2008,Jul,9531
92,8/1/2008,Aug,9351
93,9/1/2008,Sep,9200
94,10/1/2008,Oct,9919
95,11/1/2008,Nov,8729
96,12/1/2008,Dec,10802
97,1/1/2009,Jan,7240
98,2/1/2009,Feb,7549
99,3/1/2009,Mar,8652
100,4/1/2009,Apr,9124
101,5/1/2009,May,9328
102,6/1/2009,Jun,10121
103,7/1/2009,Jul,9462
104,8/1/2009,Aug,8880
105,9/1/2009,Sep,9226
106,10/1/2009,Oct,9029
107,11/1/2009,Nov,8901
108,12/1/2009,Dec,10784
109,1/1/2010,Jan,6519
110,2/1/2010,Feb,7437
111,3/1/2010,Mar,9418
112,4/1/2010,Apr,9366
113,5/1/2010,May,9291
114,6/1/2010,Jun,10481
115,7/1/2010,Jul,9014
116,8/1/2010,Aug,9207
117,9/1/2010,Sep,9351
118,10/1/2010,Oct,9341
119,11/1/2010,Nov,9788
120,12/1/2010,Dec,11361
121,1/1/2011,Jan,6839
122,2/1/2011,Feb,7942
123,3/1/2011,Mar,9742
124,4/1/2011,Apr,9197
125,5/1/2011,May,9878
126,6/1/2011,Jun,11246
127,7/1/2011,Jul,9034
128,8/1/2011,Aug,10392
129,9/1/2011,Sep,10018
130,10/1/2011,Oct,9558
131,11/1/2011,Nov,10280
132,12/1/2011,Dec,11440
133,1/1/2012,Jan,7482
134,2/1/2012,Feb,8641
135,3/1/2012,Mar,9711
136,4/1/2012,Apr,9424
137,5/1/2012,May,11338
138,6/1/2012,Jun,11255
139,7/1/2012,Jul,9803
140,8/1/2012,Aug,11093
141,9/1/2012,Sep,9433
